code,sequence,header
q1,1,¿Haz presentado alguno de los siguientes síntomas en los últimos 14 días?
q1_ans1_1,2,Fiebre
q1_ans1_2,3,Escalofríos
q1_ans1_3,4,Tos seca
q1_ans1_4,5,Tos húmeda (con mucosidad)
q1_ans1_5,6,Dificultad para respirar
q1_ans1_6,7,Pérdida del olfato
q1_ans1_7,8,Fatiga
q1_ans1_8,9,Opresión en el pecho
q1_ans1_9,10,Dolor de garganta / Escurrimiento nasal / Congestión
q1_ans1_10,11,Vómito
q1_ans1_11,12,Diarrea
q2,13,"En los últimos 14 días, ¿has tenido algún contacto con alguien con síntomas que sugieran una infección por COVID-19?"
q3,14,¿Te has realizado la prueba de COVID-19?
q4,15,¿Haz viajado en los últimos 7 días?
q4_ans1_1,16,Fecha de inicio del viaje
q4_ans1_2,17,Fecha de fin del viaje
q4_ans1_3,18,Origen
q4_ans1_4,19,Destino
q4_ans1_5,20,Motivo de viaje
